AthleteGUID,AthleteName,AthleteGender,Nationality
1203616,Alex Haydock-Wilson,M         ,GBR
1089427,Caryl Moore,W         ,GBR
1163337,Spencer Thomas,M         ,GBR
1147607,Kyle Langford,M         ,GBR
1181210,Canaan Solomon,M         ,GBR
1157695,Ellie Baker,W         ,GBR
1129226,Sabrina Bakare,W         ,GBR
1086657,Neil Burton,M         ,GBR
1174903,Ben Claridge,M         ,GBR
1161207,Andrew Butchart,M         ,GBR
1120095,Shelayna Oskan-Clarke,W         ,GBR
1142649,Morgan Lake,W         ,GBR
1135950,Rosie Clarke,W         ,GBR
1152642,Reece Prescod,M         ,GBR
1131194,Chijindu Ujah,M         ,GBR
1158687,Tommy Ramdhan,M         ,GBR
1185272,James Wright,M         ,GBR
1151958,Shola John-Olojo,M         ,GBR
1184865,Mair Edwards,W         ,GBR
1187799,Divine Oladipo,W         ,GBR
1161636,Jamaine Coleman,M         ,GBR
1207288,Lascelles Hussey,M         ,GBR
1223857,Thomas Staines,M         ,GBR
1203178,Daniel Lawton,M         ,GBR
1166034,Charlotte Crook,W         ,GBR
1150048,Rebecca Croft,W         ,GBR
1110593,Lorraine Ugen,W         ,GBR
1144061,Jahisha Thomas,W         ,GBR
1274711,Tade Ojora,M         ,GBR
1159849,Aimee Pratt,W         ,GBR
1133213,Tom Anderson,M         ,GBR
1165687,Max McNeill,M         ,GBR
1198675,Alice Wright,W         ,GBR
1241020,Rebecca Howard,W         ,GBR
1120500,Ben Gregory,M         ,GBR
1187128,Emily Smith,W         ,GBR
1134573,Lucy Bryan,W         ,GBR
1136876,Amy-Eloise Neale,W         ,GBR
1185508,Hannah Segrave,W         ,GBR
1164975,Grant Muir,M         ,GBR
1268923,Jake Smith,M         ,GBR
1211055,Hope Sarti,W         ,GBR
1294749,Bayley Campbell,M         ,GBR
1203763,Bella Williams,W         ,GBR
1284899,Scarlet Dale,W         ,GBR
1191765,Maggie Okul,W         ,GBR
1217842,Katie Buckley,W         ,GBR
1186884,Jamie Crowe,M         ,GBR
1182423,Jack Gooch,M         ,GBR
1190324,Niall Holt,M         ,GBR
1231685,Jordan Rowe,M         ,GBR
1261144,Alex Eykelbosch,W         ,GBR
1265146,Katy Whiteaok,W         ,GBR
1287357,Jessica Fox,W         ,GBR
1227228,Mya Taylor,W         ,GBR
1217243,Matthew Arnold,M         ,GBR
1267890,Lauren McNeil,W         ,GBR
1284300,Alex Cooper,M         ,GBR
1281370,Moyo Sargent,M         ,GBR
1218615,Trinity Powell,W         ,GBR
1207899,Eve Wright,W         ,GBR
1252890,Jasmine Carey,W         ,GBR
1226001,Shannon Flockhart,W         ,GBR
1292798,Tia Wilson,W         ,GBR
1285782,Daniel Falode,M         ,GBR
