AthleteGUID,CompetitionID,EventID,dateid,EventName,Terrain,PerformanceValues,PerformanceUnits,CompPosition,CompRound,CompName,CompVenue,ValidPerformance,EventWind
1254544,142291,3148387,08/08/2024,1500m,outdoor,242.2,seconds,8,Semi-finals,OG,Paris,1,NULL
1253551,126941,2831654,18/07/2022,200m,outdoor,20.8,seconds,5,Heats,WC,Eugene OR,1,0
1253551,126941,2830539,15/07/2022,100m,outdoor,10.21,seconds,6,Heats,WC,Eugene OR,1,0.2
1253065,112541,2658097,31/07/2021,100m Hurdles,outdoor,13.17,seconds,8,Heats,OG,Tokyo,1,0.3
1253065,123073,2753730,19/03/2022,60m Hurdles,indoor,7.97,seconds,2,Heats,WC,Beograd,1,NULL
1253065,123073,2753817,19/03/2022,60m Hurdles,indoor,7.89,seconds,2,Semi-finals,WC,Beograd,1,NULL
1253065,126941,2832181,23/07/2022,100m Hurdles,outdoor,13.12,seconds,5,Heats,WC,Eugene OR,1,1.5
1253065,126941,2832445,24/07/2022,100m Hurdles,outdoor,12.7,seconds,6,Semi-finals,WC,Eugene OR,1,0.9
1253065,142291,3148216,07/08/2024,100m Hurdles,outdoor,12.81,seconds,3,Heats,OG,Paris,1,0
1253065,142291,3148568,09/08/2024,100m Hurdles,outdoor,12.68,seconds,5,Semi-finals,OG,Paris,1,0.4
1253065,134418,2988724,24/08/2023,100m Hurdles,outdoor,12.7,seconds,7,Finals,WC,Budapest,1,-0.2
1253065,134418,2988540,22/08/2023,100m Hurdles,outdoor,12.71,seconds,3,Heats,WC,Budapest,1,0
1253065,134418,2988577,23/08/2023,100m Hurdles,outdoor,12.5,seconds,3,Semi-finals,WC,Budapest,1,0.5
1251760,134640,2994011,01/10/2023,Half Marathon,outdoor,4014,seconds,73,Finals,WC,Rīga,1,NULL
1251058,126941,2830534,15/07/2022,20km Walk,outdoor,5791,seconds,25,Finals,WC,Eugene OR,1,NULL
1250417,126941,2832066,21/07/2022,5000m,outdoor,855.59,seconds,21,Heats,WC,Eugene OR,1,NULL
1250417,123073,2753510,18/03/2022,3000m,indoor,479.39,seconds,9,Heats,WC,Beograd,1,NULL
1250417,112541,2658987,03/08/2021,5000m,outdoor,847.79,seconds,18,Heats,OG,Tokyo,1,NULL
1250417,135095,3022321,01/03/2024,1500m,indoor,227.86,seconds,6,Heats,WC,Glasgow,1,NULL
1249098,142291,3148725,10/08/2024,Marathon,outdoor,8154,seconds,60,Finals,OG,Paris,1,NULL
1249098,126941,2830580,17/07/2022,Marathon,outdoor,7964,seconds,36,Finals,WC,Eugene OR,1,NULL
1247491,134418,2988571,23/08/2023,3000m Steeplechase,outdoor,570.28,seconds,6,Heats,WC,Budapest,1,NULL
1246973,134418,2988050,19/08/2023,20km Walk,outdoor,5472,seconds,47,Finals,WC,Budapest,1,NULL
1246582,134640,2994011,01/10/2023,Half Marathon,outdoor,3781,seconds,46,Finals,WC,Rīga,1,NULL
1246111,142291,3148214,07/08/2024,5000m,outdoor,848.76,seconds,5,Heats,OG,Paris,1,NULL
1246111,142291,3148693,10/08/2024,5000m,outdoor,797.18,seconds,7,Finals,OG,Paris,1,NULL
1245527,142291,3148215,07/08/2024,Triple Jump,outdoor,16.77,metres,15,Quarter-finals,OG,Paris,1,0.2
1245344,142291,3147917,06/08/2024,1500m,outdoor,243.49,seconds,4,Heats,OG,Paris,1,NULL
1245344,142291,3148692,10/08/2024,1500m,outdoor,240.12,seconds,10,Finals,OG,Paris,1,NULL
1245344,142291,3148387,08/08/2024,1500m,outdoor,240.21,seconds,5,Semi-finals,OG,Paris,1,NULL
1245326,142291,3147159,04/08/2024,200m,outdoor,22.78,seconds,4,Heats,OG,Paris,1,0
1245326,142291,3147259,05/08/2024,200m,outdoor,22.58,seconds,1,Quarter-finals,OG,Paris,1,0.6
1245326,142291,3147268,05/08/2024,200m,outdoor,22.81,seconds,7,Semi-finals,OG,Paris,1,0.2
1245326,142291,3146954,02/08/2024,100m,outdoor,11.27,seconds,4,Heats,OG,Paris,1,0.1
1245095,142291,3147905,06/08/2024,400m,outdoor,51.65,seconds,4,Quarter-finals,OG,Paris,1,NULL
1245095,142291,3147525,05/08/2024,400m,outdoor,51.47,seconds,5,Heats,OG,Paris,1,NULL
1244926,142291,3148762,11/08/2024,Marathon,outdoor,9274,seconds,53,Finals,OG,Paris,1,NULL
1194566,134418,2988796,25/08/2023,Javelin Throw,outdoor,86.79,metres,2,Quarter-finals,WC,Budapest,1,NULL
1095198,112541,2659411,07/08/2021,Javelin Throw,outdoor,86.67,metres,2,Finals,OG,Tokyo,1,NULL
1095198,134418,2988973,27/08/2023,Javelin Throw,outdoor,86.67,metres,3,Finals,WC,Budapest,1,NULL
1243404,142291,3148725,10/08/2024,Marathon,outdoor,7651,seconds,5,Finals,OG,Paris,1,NULL
