AthleteGUID,CompetitionID,EventID,dateid,EventName,Terrain,PerformanceValues,PerformanceUnits,CompPosition,CompRound,CompVenue,AthleteName,AthleteGender,Nationality,Flag,EventType,RankValue
1176334,142291,3148401,2024-08-08,Javelin Throw,outdoor,89.45,metres,2.0,finals,paris,neeraj chopra,M         ,ind,global,distance_based,-89.45
1238339,137956,3078490,2024-04-30,Javelin Throw,outdoor,59.95,metres,1.0,finals,huelva,rebekah walton,W         ,gbr,gbr,distance_based,-59.95
1238339,133831,2968480,2023-06-25,Javelin Throw,outdoor,59.76,metres,3.0,finals,chorzw,rebekah walton,W         ,gbr,gbr,distance_based,-59.76
1238339,136090,3104435,2024-05-19,Javelin Throw,outdoor,59.36,metres,1.0,finals,loughborough,rebekah walton,W         ,gbr,gbr,distance_based,-59.36
1125051,126941,2832175,2022-07-22,Javelin Throw,outdoor,66.91,metres,1.0,finals,eugene or,kelseylee barber,W         ,aus,global,distance_based,-66.91
1169022,134418,2988718,2023-08-25,Javelin Throw,outdoor,66.73,metres,1.0,finals,budapest,haruka kitaguchi,W         ,jpn,global,distance_based,-66.73
1125051,81430,2442691,2019-10-01,Javelin Throw,outdoor,66.56,metres,1.0,finals,doha,kelseylee barber,W         ,aus,global,distance_based,-66.56
1161128,123294,2757928,2022-03-26,Long Jump,outdoor,8.45,metres,1.0,finals,austin tx,jacob finchamdukes,M         ,gbr,gbr,distance_based,-8.45
1161128,138414,3094108,2024-05-11,Long Jump,outdoor,8.3,metres,1.0,finals,clermont fl,jacob finchamdukes,M         ,gbr,gbr,distance_based,-8.3
1161128,129217,2912217,2023-04-15,Long Jump,outdoor,8.25,metres,1.0,finals,long beach ca,jacob finchamdukes,M         ,gbr,gbr,distance_based,-8.25
1204134,81430,2442897,2019-09-28,Long Jump,outdoor,8.69,metres,1.0,finals,doha,tajay gayle,M         ,jam,global,distance_based,-8.69
1167700,123073,2753713,2022-03-18,Long Jump,indoor,8.55,metres,1.0,finals,beograd,miltidis tentglou,M         ,gre,global,distance_based,-8.55
1167700,134418,2988745,2023-08-24,Long Jump,outdoor,8.52,metres,1.0,finals,budapest,miltidis tentglou,M         ,gre,global,distance_based,-8.52
1102347,129310,2887118,2023-03-05,Long Jump,indoor,7.0,metres,1.0,finals,istanbul,jazmin sawyers,W         ,gbr,gbr,distance_based,-7.0
1110593,104801,2641601,2021-06-11,Long Jump,outdoor,6.94,metres,1.0,finals,marietta ga,lorraine ugen,W         ,gbr,gbr,distance_based,-6.94
1102347,105221,2636323,2021-06-06,Long Jump,outdoor,6.9,metres,1.0,finals,chula vista ca,jazmin sawyers,W         ,gbr,gbr,distance_based,-6.9
1122842,81430,2400533,2019-10-06,Long Jump,outdoor,7.3,metres,1.0,finals,doha,malaika mihambo,W         ,ger,global,distance_based,-7.3
1062687,134418,2988093,2023-08-20,Long Jump,outdoor,7.14,metres,1.0,finals,budapest,ivana panovi,W         ,srb,global,distance_based,-7.14
1122842,126941,2832311,2022-07-24,Long Jump,outdoor,7.12,metres,1.0,finals,eugene or,malaika mihambo,W         ,ger,global,distance_based,-7.12
1147711,84330,2474149,2020-09-04,Pole Vault,outdoor,5.85,metres,1.0,finals,manchester,harry coppell,M         ,gbr,gbr,distance_based,-5.85
1147711,103869,2490293,2020-02-23,Pole Vault,indoor,5.8,metres,5.0,finals,clermontferrand,harry coppell,M         ,gbr,gbr,distance_based,-5.8
